epoch,train_loss,val_loss,val_accuracy
1,,0.4607,0.8279
2,,0.2803,0.8894
3,,0.2146,0.9124
4,,0.2114,0.9194
5,,0.34,0.8767
6,,0.145,0.9448
7,,0.1317,0.9526
8,,0.114,0.9588
9,,0.1158,0.9553
10,,0.0982,0.964
11,,0.0938,0.9648
12,,0.0812,0.9681
13,,0.0816,0.9688
14,,0.073,0.9726
15,,0.0765,0.9714
16,,0.0692,0.974
17,,0.0683,0.9746
18,,0.1057,0.9624
19,,0.0583,0.9782
20,,0.0647,0.9764
21,,0.0519,0.9814
22,,0.055,0.9799
23,,0.0494,0.9829
24,,0.0551,0.9814
25,,0.051,0.9822
26,,0.0499,0.9829
27,,0.0495,0.9832
28,,0.0495,0.9842
29,,0.0603,0.9787
30,,0.0499,0.9836
